Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus.1,04/03/2019,6000,8000,7000
Uttar Pradesh,Agra,Samsabad,Gur(Jaggery),Pathari,04/03/2019,4900.0,5100.0,5000.0
Telangana,Hyderabad,Mahboob Manison,Dry Chillies,1st Sort,04/03/2019,6000.0,8500.0,7000.0
Punjab,Mansa,Mansa,Bhindi(Ladies Finger),Bhindi,04/03/2019,3000.0,4000.0,3500.0
Kerala,Kottayam,Ettumanoor,Cabbage,Other,04/03/2019,2000.0,2200.0,2100.0
Uttar Pradesh,Agra,Khairagarh,Mustard,Sarson(Black),04/03/2019,3300.0,3500.0,3400.0
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Cucumbar(Kheera),Cucumbar,04/03/2019,1500.0,1700.0,1600.0
Punjab,Muktsar,Malout,Spinach,Spinach,04/03/2019,500.0,800.0,600.0
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,04/03/2019,1200.0,1500.0,1350.0
Rajasthan,Jalore,Jalore,Lemon,Other,04/03/2019,2300.0,2500.0,2400.0
Gujarat,Kachchh,Bachau,Guar Seed(Cluster Beans Seed),Whole,04/03/2019,4000.0,4025.0,4010.0
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Mustard Oil,Mustard Oil,04/03/2019,8900.0,9090.0,9000.0
Kerala,Kasargod,Manjeswaram,Little gourd (Kundru),Other,04/03/2019,4200.0,5000.0,4600.0
Kerala,Kollam,Anchal,Banana,Red Banana,04/03/2019,4700.0,4900.0,4800.0
Gujarat,Vadodara(Baroda),Padra,Sweet Potato,Other,04/03/2019,1500.0,2000.0,1700.0
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),G. R. 11,04/03/2019,1500.0,1550.0,1525.0
Uttar Pradesh,Aligarh,Atrauli,Maize,Hybrid,04/03/2019,1930.0,1950.0,1940.0
Odisha,Mayurbhanja,Betnoti,Leafy Vegetable,Other,04/03/2019,1400.0,1600.0,1500.0
Tamil Nadu,Coimbatore,Annur,Tobacco,Other,04/03/2019,3000.0,3200.0,3100.0
Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Gopiganj,Potato,Potato,04/03/2019,350.0,400.0,400.0
Maharashtra,Pune,Pune,Cucumbar(Kheera),Other,04/03/2019,1000.0,3000.0,2000.0
Tamil Nadu,Coimbatore,Palladam,Coconut,Other,04/03/2019,2040.0,2240.0,2140.0
West Bengal,Burdwan,Burdwan,Sweet Pumpkin,Sweet Pumpkin,04/03/2019,950.0,1050.0,1000.0
Manipur,Bishnupur,Bishenpur,Paddy(Dhan)(Common),Other,04/03/2019,2250.0,2250.0,2250.0
Uttar Pradesh,Saharanpur,Sultanpurchilkana,Carrot,Carrot,04/03/2019,400.0,500.0,450.0
Kerala,Thirssur,Kodungalloor,Tomato,Other,04/03/2019,1600.0,1600.0,1600.0
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,04/03/2019,800.0,1000.0,900.0
Uttar Pradesh,Agra,Samsabad,Barley (Jau),Dara,04/03/2019,1825.0,1875.0,1850.0
Punjab,Muktsar,Malout,Green Chilli,Green Chilly,04/03/2019,800.0,3500.0,2000.0
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Gur(Jaggery),Yellow,04/03/2019,2400.0,2600.0,2510.0
Punjab,Hoshiarpur,Dasuya,Kinnow,Other,04/03/2019,1600.0,2000.0,2000.0
